input,response
"Hi","Hello!"
"How are you?","I'm good thank you!"
"What is your name?","I am a chatbot."
"Goodbye","Goodbye!"
"Tell me a joke","Sure, why don't scientists trust atoms? Because they make up everything!"
"What's the weather like?","I don't have weather data, but I hope it's nice outside!"
"Can you help me?","Of course, what do you need help with?"
"Thank you","You're welcome!"
"What's your favorite color?","I like all colors equally!"
"What's the time?","I don't have a clock, but it's always a good time to chat with you!"
